"entrys","name","keywords"
1,"PalÃ¤ozoikum",1
7,"Trias",7
3,"Jura",3
7,"TertiÃ¤r",7
12,"7. Jahrtausend vor Christus",12
35,"6. Jahrtausend vor Christus",35
40,"5. Jahrtausend vor Christus",40
103,"4. Jahrtausend vor Christus",103
3,"38. Jahrhundert vor Christus",3
9,"36. Jahrhundert vor Christus",9
7,"33. Jahrhundert vor Christus",7
30,"32. Jahrhundert vor Christus",30
83,"31. Jahrhundert vor Christus",83
584,"3. Jahrtausend vor Christus",584
13,"30. Jahrhundert vor Christus",13
21,"29. Jahrhundert vor Christus",21
27,"28. Jahrhundert vor Christus",27
149,"27. Jahrhundert vor Christus",149
37,"26. Jahrhundert vor Christus",37
160,"25. Jahrhundert vor Christus",160
147,"24. Jahrhundert vor Christus",147
39,"23. Jahrhundert vor Christus",39
153,"22. Jahrhundert vor Christus",153
198,"21. Jahrhundert vor Christus",198
2123,"2. Jahrtausend vor Christus",2123
206,"20. Jahrhundert vor Christus",206
78,"19. Jahrhundert vor Christus",78
300,"18. Jahrhundert vor Christus",300
145,"17. Jahrhundert vor Christus",145
828,"16. Jahrhundert vor Christus",828
194,"15. Jahrhundert vor Christus",194
205,"14. Jahrhundert vor Christus",205
831,"13. Jahrhundert vor Christus",831
409,"12. Jahrhundert vor Christus",409
447,"11. Jahrhundert vor Christus",447
6525,"1. Jahrtausend vor Christus",6525
47,"10. Jahrhundert vor Christus",47
284,"9. Jahrhundert vor Christus",284
564,"8. Jahrhundert vor Christus",564
833,"7. Jahrhundert vor Christus",833
1981,"6. Jahrhundert vor Christus",1981
1674,"5. Jahrhundert vor Christus",1674
1515,"4. Jahrhundert vor Christus",1515
644,"3. Jahrhundert vor Christus",644
677,"2. Jahrhundert vor Christus",677
1345,"1. Jahrhundert vor Christus",1345
3094,"1. Jahrhundert",3094
3024,"2. Jahrhundert",3024
2467,"3. Jahrhundert",2467
2930,"4. Jahrhundert",2930
6513,"5. Jahrhundert",6513
6663,"6. Jahrhundert",6663
6352,"7. Jahrhundert",6352
6505,"8. Jahrhundert",6505
7726,"9. Jahrhundert",7726
8087,"10. Jahrhundert",8087
12897,"11. Jahrhundert",12897
10338,"1001 bis 1050",10338
9311,"1051 bis 1100",9311
25994,"12. Jahrhundert",25994
16955,"1101 bis 1150",16955
19770,"1151 bis 1200",19770
31259,"13. Jahrhundert",31259
21457,"1201 bis 1250",21457
20840,"1251 bis 1300",20840
44039,"14. Jahrhundert",44039
25447,"1301 bis 1350",25447
29996,"1351 bis 1400",29996
84635,"15. Jahrhundert",84635
38504,"1401 bis 1450",38504
58303,"1451 bis 1500",58303
99959,"16. Jahrhundert",99959
58428,"1501 bis 1550",58428
54284,"1551 bis 1600",54284
122548,"17. Jahrhundert",122548
58237,"1601 bis 1650",58237
78172,"1651 bis 1700",78172
299918,"18. Jahrhundert",299918
79713,"1701 bis 1725",79713
81283,"1726 bis 1750",81283
80204,"1751 bis 1775",80204
112029,"1776 bis 1800",112029
389346,"19. Jahrhundert",389346
84944,"1801 bis 1825",84944
97212,"1826 bis 1850",97212
131662,"1851 bis 1875",131662
127225,"1876 bis 1900",127225
1313937,"20. Jahrhundert",1313937
87048,"1901 bis 1910",87048
141296,"1911 bis 1920",141296
164752,"1921 bis 1930",164752
119377,"1931 bis 1940",119377
202794,"1941 bis 1950",202794
328842,"1951 bis 1960",328842
181401,"1961 bis 1970",181401
131901,"1971 bis 1980",131901
90199,"1981 bis 1990",90199
87671,"1991 bis 2000",87671
375965,"21. Jahrhundert",375965
310750,"2001 bis 2010",310750
71378,"2011 bis 2020",71378
